plot,nurse,sp,replica,target,media_rii,media_imp
98,jupreta,Mimosa_tenuiflora,3,Anadenanthera_colubrina,-0.34923713,-0.42548823
125,jupreta,Mimosa_tenuiflora,4,Anadenanthera_colubrina,0.012884062,-0.06090327
126,jupreta,Mimosa_tenuiflora,5,Anadenanthera_colubrina,0.14633309,0.10307284
25,marmeleiro,Croton_blanchetianus,1,Anadenanthera_colubrina,0.02907392,-0.01116155
48,marmeleiro,Croton_blanchetianus,2,Anadenanthera_colubrina,-0.082337185,-0.06109639
51,marmeleiro,Croton_blanchetianus,3,Anadenanthera_colubrina,0.03264924,0.02071023
61,marmeleiro,Croton_blanchetianus,4,Anadenanthera_colubrina,0.15966254,0.10103205
72,marmeleiro,Croton_blanchetianus,5,Anadenanthera_colubrina,-0.15942351,-0.1709034
60,mofumbo,Combretum_leprosum,1,Anadenanthera_colubrina,-0.125873352,0.03809738
62,mofumbo,Combretum_leprosum,2,Anadenanthera_colubrina,0.084823828,-0.01369424
71,mofumbo,Combretum_leprosum,3,Anadenanthera_colubrina,-0.01322045,-0.02254301
119,mofumbo,Combretum_leprosum,4,Anadenanthera_colubrina,0.383396657,0.04863316
137,mofumbo,Combretum_leprosum,5,Anadenanthera_colubrina,-0.02104074,-0.01148718
69,mororo,Bauhinia_cheilantha,1,Anadenanthera_colubrina,0.100799991,0.06159653
79,mororo,Bauhinia_cheilantha,2,Anadenanthera_colubrina,0.385439482,0.07923968
84,mororo,Bauhinia_cheilantha,3,Anadenanthera_colubrina,-0.26431843,-0.09270797
93,mororo,Bauhinia_cheilantha,4,Anadenanthera_colubrina,0.1421292,0.08559871
152,mororo,Bauhinia_cheilantha,5,Anadenanthera_colubrina,-0.18627269,-0.0896471
28,paubranco,Cordia_glazioviana,1,Anadenanthera_colubrina,0.069836398,0.04782905
33,paubranco,Cordia_glazioviana,2,Anadenanthera_colubrina,-0.060489944,-0.01858494
52,paubranco,Cordia_glazioviana,3,Anadenanthera_colubrina,0.27926726,0.17102456
110,paubranco,Cordia_glazioviana,4,Anadenanthera_colubrina,-0.159406564,-0.0712666
146,paubranco,Cordia_glazioviana,5,Anadenanthera_colubrina,-0.31121269,-0.10229041
66,pereiro,Aspidosperma_pyrifolium,1,Anadenanthera_colubrina,0.203806928,0.04299669
82,pereiro,Aspidosperma_pyrifolium,2,Anadenanthera_colubrina,0.037716173,-0.14038595
101,pereiro,Aspidosperma_pyrifolium,3,Anadenanthera_colubrina,0.30883055,0.12310952
129,pereiro,Aspidosperma_pyrifolium,4,Anadenanthera_colubrina,0.449616867,0.14603155
147,pereiro,Aspidosperma_pyrifolium,5,Anadenanthera_colubrina,-0.15364442,-0.07403925
32,umbu,Spondias_tuberosa,1,Anadenanthera_colubrina,0.052032354,-0.06329923
115,umbu,Spondias_tuberosa,2,Anadenanthera_colubrina,0.137992084,-0.02101017
141,umbu,Spondias_tuberosa,3,Anadenanthera_colubrina,0.09634928,0.05913958
143,umbu,Spondias_tuberosa,4,Anadenanthera_colubrina,0.104552092,0.04158188
158,umbu,Spondias_tuberosa,5,Anadenanthera_colubrina,-0.08859019,0.00772411
113,algodao,Cochlospermum_vitifolium,1,Myracrodruon_urundeuva,0.25231117,0.16868898
122,algodao,Cochlospermum_vitifolium,2,Myracrodruon_urundeuva,-0.014423143,0.02778462
123,algodao,Cochlospermum_vitifolium,3,Myracrodruon_urundeuva,0.01476631,-0.01754981
156,algodao,Cochlospermum_vitifolium,4,Myracrodruon_urundeuva,-0.1040086,-0.0319414
157,algodao,Cochlospermum_vitifolium,5,Myracrodruon_urundeuva,0.011982136,-0.01477529
38,angico,Anadenanthera_colubrina,1,Myracrodruon_urundeuva,-0.26237704,-0.42141479
